subj_idx,ss_presented,inhibited,ssd,rt
1,1,1,48,-999
1,0,-999,-999,384
1,0,-999,-999,-999
1,1,1,48,-999
1,1,1,152,-999
1,1,0,100,-999
1,1,0,200,252
1,1,1,100,-999
1,1,0,152,264
1,1,0,200,260
1,0,-999,-999,208
1,0,-999,-999,-999
1,0,-999,-999,296
1,1,1,52,-999
1,0,-999,-999,-999
1,0,-999,-999,172
1,0,-999,-999,220
1,1,1,200,-999
1,1,1,152,-999
1,1,0,200,204
1,0,-999,-999,280
1,1,1,52,-999
1,0,-999,-999,252
1,0,-999,-999,-999
1,0,-999,-999,252
1,1,1,100,-999
1,1,1,100,-999
1,1,0,200,-999
1,1,1,100,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,196
1,1,1,148,-999
1,0,-999,-999,-999
1,0,-999,-999,252
1,0,-999,-999,332
1,0,-999,-999,224
1,1,1,148,-999
1,0,-999,-999,272
1,1,1,52,-999
1,0,-999,-999,-999
1,0,-999,-999,284
1,0,-999,-999,-999
1,0,-999,-999,256
1,0,-999,-999,220
1,0,-999,-999,-999
1,1,1,52,-999
1,0,-999,-999,-999
1,1,0,152,168
1,1,1,148,-999
1,1,1,52,-999
1,0,-999,-999,-999
1,0,-999,-999,288
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,188
1,0,-999,-999,-999
1,1,0,200,220
1,0,-999,-999,324
1,0,-999,-999,-999
1,1,1,48,-999
1,0,-999,-999,204
1,0,-999,-999,236
1,1,1,100,-999
1,0,-999,-999,344
1,1,1,100,-999
1,0,-999,-999,-999
1,0,-999,-999,304
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,324
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,348
1,0,-999,-999,232
1,0,-999,-999,240
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,232
1,0,-999,-999,-999
1,1,1,100,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,232
1,1,1,48,-999
1,0,-999,-999,-999
1,0,-999,-999,232
1,0,-999,-999,-999
1,0,-999,-999,176
1,1,1,100,-999
1,1,0,148,196
1,0,-999,-999,280
1,1,1,148,-999
1,0,-999,-999,-999
1,1,1,200,-999
1,1,1,200,-999
1,0,-999,-999,-999
1,0,-999,-999,180
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,184
1,1,0,200,180
1,0,-999,-999,244
1,0,-999,-999,192
1,1,0,200,-999
1,0,-999,-999,-999
1,0,-999,-999,280
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,192
1,0,-999,-999,-999
1,1,1,100,-999
1,1,1,100,-999
1,0,-999,-999,508
1,0,-999,-999,264
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,1,0,148,204
1,0,-999,-999,232
1,0,-999,-999,252
1,0,-999,-999,-999
1,1,0,100,-999
1,0,-999,-999,280
1,1,1,148,-999
1,0,-999,-999,292
1,0,-999,-999,176
1,1,0,100,384
1,0,-999,-999,172
1,0,-999,-999,168
1,0,-999,-999,-999
1,1,1,52,-999
1,0,-999,-999,-999
1,1,0,148,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,1,0,48,120
1,0,-999,-999,136
1,1,1,100,-999
1,0,-999,-999,-999
1,1,0,200,240
1,0,-999,-999,188
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,224
1,0,-999,-999,-999
1,0,-999,-999,324
1,0,-999,-999,264
1,0,-999,-999,280
1,0,-999,-999,168
1,1,1,152,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,196
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,216
1,0,-999,-999,268
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,248
1,0,-999,-999,-999
1,0,-999,-999,340
1,0,-999,-999,-999
1,1,1,48,-999
1,1,1,48,-999
1,0,-999,-999,-999
1,0,-999,-999,212
1,1,1,48,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,184
1,0,-999,-999,308
1,1,1,148,-999
1,1,1,100,-999
1,1,1,100,-999
1,0,-999,-999,-999
1,0,-999,-999,324
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,348
1,0,-999,-999,-999
1,0,-999,-999,232
1,0,-999,-999,-999
1,0,-999,-999,292
1,0,-999,-999,-999
1,0,-999,-999,252
1,1,0,200,272
1,0,-999,-999,244
1,0,-999,-999,-999
1,1,1,200,-999
1,1,1,52,-999
1,0,-999,-999,-999
1,0,-999,-999,340
1,0,-999,-999,308
1,1,1,48,-999
1,1,0,152,200
1,1,1,52,-999
1,1,1,200,-999
1,1,1,100,-999
1,1,1,152,-999
1,1,1,100,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,1,1,152,-999
1,0,-999,-999,-999
1,1,1,48,-999
1,0,-999,-999,-999
1,0,-999,-999,280
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
1,0,-999,-999,-999
