subj_idx,ss_presented,inhibited,ssd,rt
1,0,-999,-999,300
1,0,-999,-999,169
1,0,-999,-999,292
1,1,0,357,261
1,0,-999,-999,181
1,0,-999,-999,414
1,0,-999,-999,359
1,0,-999,-999,412
1,0,-999,-999,315
1,1,0,357,322
1,0,-999,-999,365
1,1,1,229,-999
1,1,1,357,-999
1,0,-999,-999,62
1,0,-999,-999,289
1,0,-999,-999,504
1,0,-999,-999,599
1,0,-999,-999,515
1,0,-999,-999,339
1,0,-999,-999,450
1,0,-999,-999,553
1,1,1,229,-999
1,0,-999,-999,447
1,0,-999,-999,400
1,1,0,357,352
1,1,1,229,-999
1,0,-999,-999,445
1,0,-999,-999,320
1,1,0,486,761
1,1,1,357,-999
1,1,0,486,456
1,0,-999,-999,386
1,0,-999,-999,267
1,1,0,357,534
1,1,1,357,-999
1,0,-999,-999,256
1,0,-999,-999,322
1,0,-999,-999,184
1,0,-999,-999,688
1,1,1,486,-999
1,0,-999,-999,70
1,0,-999,-999,594
1,1,0,486,406
1,0,-999,-999,537
1,1,1,357,-999
1,0,-999,-999,429
1,0,-999,-999,710
1,0,-999,-999,359
1,0,-999,-999,287
1,1,0,357,348
1,1,1,229,-999
1,1,0,486,477
1,0,-999,-999,605
1,1,0,614,623
1,1,0,357,388
1,0,-999,-999,724
1,1,1,486,-999
1,1,1,357,-999
1,0,-999,-999,687
1,0,-999,-999,610
1,0,-999,-999,506
1,0,-999,-999,402
1,1,0,486,328
1,0,-999,-999,463
1,0,-999,-999,484
1,0,-999,-999,543
1,0,-999,-999,375
1,0,-999,-999,490
1,0,-999,-999,368
1,1,0,357,340
1,0,-999,-999,206
1,1,1,229,-999
1,1,0,614,447
1,0,-999,-999,393
1,0,-999,-999,490
1,0,-999,-999,46
1,1,1,357,-999
1,1,1,357,-999
1,0,-999,-999,503
1,0,-999,-999,655
1,0,-999,-999,475
1,0,-999,-999,524
1,1,1,229,-999
1,0,-999,-999,552
1,1,1,486,-999
1,1,0,486,342
1,0,-999,-999,499
1,1,0,614,565
1,1,1,357,-999
1,0,-999,-999,599
1,0,-999,-999,354
1,1,0,357,73
1,0,-999,-999,654
1,0,-999,-999,617
1,0,-999,-999,386
1,0,-999,-999,581
1,0,-999,-999,725
1,0,-999,-999,365
1,1,0,486,67
1,0,-999,-999,501
1,0,-999,-999,563
1,0,-999,-999,455
1,0,-999,-999,480
1,1,0,486,474
1,1,1,357,-999
1,0,-999,-999,843
1,0,-999,-999,827
1,1,1,486,-999
1,0,-999,-999,708
1,0,-999,-999,660
1,0,-999,-999,470
1,0,-999,-999,812
1,0,-999,-999,591
1,1,0,486,516
1,0,-999,-999,343
1,0,-999,-999,611
1,0,-999,-999,416
1,0,-999,-999,304
1,0,-999,-999,684
1,0,-999,-999,520
1,0,-999,-999,237
1,0,-999,-999,613
1,0,-999,-999,363
1,0,-999,-999,807
1,1,1,357,-999
1,0,-999,-999,695
1,0,-999,-999,652
1,0,-999,-999,431
1,0,-999,-999,643
1,1,1,614,-999
1,0,-999,-999,540
1,0,-999,-999,576
1,0,-999,-999,911
1,1,1,486,-999
1,1,0,486,264
1,0,-999,-999,427
1,0,-999,-999,468
1,1,0,743,558
1,1,0,614,630
1,0,-999,-999,612
1,0,-999,-999,529
1,0,-999,-999,80
1,0,-999,-999,732
1,1,0,486,367
1,0,-999,-999,439
1,1,0,614,477
1,0,-999,-999,376
1,0,-999,-999,870
1,0,-999,-999,617
1,1,1,357,-999
1,1,1,486,-999
1,1,1,357,-999
1,0,-999,-999,319
1,0,-999,-999,682
1,1,0,486,380
1,0,-999,-999,760
1,1,1,357,-999
1,0,-999,-999,388
1,1,0,486,385
1,0,-999,-999,311
1,0,-999,-999,345
1,0,-999,-999,209
1,0,-999,-999,62
1,0,-999,-999,574
1,0,-999,-999,638
1,0,-999,-999,386
1,0,-999,-999,464
1,1,0,614,542
1,1,0,486,492
1,1,1,486,-999
1,0,-999,-999,63
1,0,-999,-999,536
1,0,-999,-999,280
1,0,-999,-999,704
1,1,1,357,-999
1,0,-999,-999,624
1,1,0,614,400
1,0,-999,-999,655
1,0,-999,-999,769
1,0,-999,-999,774
1,1,1,486,-999
1,1,1,486,-999
1,0,-999,-999,389
1,1,1,357,-999
1,0,-999,-999,527
1,0,-999,-999,231
1,0,-999,-999,707
1,0,-999,-999,436
1,0,-999,-999,825
1,0,-999,-999,857
1,0,-999,-999,743
1,0,-999,-999,535
1,0,-999,-999,612
1,0,-999,-999,71
1,1,1,486,-999
1,1,1,614,-999
1,0,-999,-999,776
1,0,-999,-999,588
1,0,-999,-999,388
1,0,-999,-999,399
1,0,-999,-999,371
1,0,-999,-999,501
1,1,0,614,394
1,1,0,486,337
1,1,0,357,254
1,0,-999,-999,569
1,0,-999,-999,444
1,0,-999,-999,549
1,0,-999,-999,308
1,1,0,743,699
1,0,-999,-999,412
1,0,-999,-999,824
1,0,-999,-999,558
1,0,-999,-999,793
1,0,-999,-999,281
1,1,0,614,377
1,0,-999,-999,547
1,0,-999,-999,321
